date,product_category,product_name,units_sold,units_returned,price,discount_percentage,revenue,platform,location
2020-10-07,Sleep Aids,ImmunoPro,11.0,1.0,10.99,20.0,0.0,Instore,Los Angeles
2020-09-16,Vitamins,MuscleMax,11.0,1.0,12.5,0.0,0.0,Mobile App,Houston
2020-11-11,Immunity Boosters,SlimFast,15.0,1.0,15.0,0.0,225.0,Online,Chicago
2020-11-04,Energy Drinks,PowerFuel,14.0,0.0,10.99,25.0,115.395,Online,New York
2020-06-03,Vitamins,SuperVita,0.0,1.0,10.99,50.0,0.0,Mobile App,New York
2020-09-09,Vitamins,SuperVita,11.0,2.0,10.99,20.0,0.0,Instore,Los Angeles
2020-06-17,Sleep Aids,DreamRest,11.0,2.0,12.5,105.0,-6.875,Mobile App,Los Angeles
2020-09-23,Immunity Boosters,SlimFast,11.0,1.0,15.0,105.0,-8.25,Instore,Houston
2020-10-28,Vitamins,SlimFast,3.0,1.0,15.0,0.0,45.0,Instore,New York
2020-04-01,Weight Loss,SuperVita,10.0,1.0,12.5,105.0,-6.25,Mobile App,Phoenix
2020-11-25,Immunity Boosters,SlimFast,11.0,1.0,12.5,25.0,0.0,Online,New York
2020-02-19,Protein,SlimFast,0.0,1.0,9.99,50.0,0.0,Online,Phoenix
2020-09-02,Vitamins,MuscleMax,44.0,2.0,10.99,20.0,386.848,Online,Chicago
2020-07-22,Sleep Aids,ImmunoPro,11.0,1.0,10.99,20.0,0.0,Instore,Phoenix
2020-10-07,Protein,PowerFuel,11.0,1.0,12.5,0.0,0.0,Mobile App,New York
2020-05-08,Energy Drinks,ImmunoPro,11.0,1.0,12.5,0.0,0.0,Online,Chicago
2020-01-29,Immunity Boosters,PowerFuel,9.0,1.0,12.5,20.0,90.0,Mobile App,Los Angeles
2020-04-01,Sleep Aids,SlimFast,46.0,1.0,15.0,25.0,517.5,Mobile App,Chicago
2020-02-19,Vitamins,DreamRest,0.0,1.0,12.5,0.0,0.0,Online,New York
2020-08-04,Vitamins,DreamRest,0.0,2.0,9.99,10.0,0.0,Mobile App,Chicago
2020-11-18,Immunity Boosters,SuperVita,16.0,1.0,12.5,0.0,200.0,Online,Los Angeles
2020-06-03,Weight Loss,SuperVita,11.0,0.0,9.99,20.0,0.0,Mobile App,Los Angeles
2020-04-15,Immunity Boosters,SuperVita,9.0,1.0,15.0,25.0,101.25,Instore,Los Angeles
2020-07-15,Immunity Boosters,MuscleMax,0.0,0.0,12.5,10.0,0.0,Online,Chicago
2020-07-29,Weight Loss,SuperVita,11.0,0.0,9.99,20.0,87.912,Online,Phoenix
2020-07-08,Sleep Aids,SuperVita,0.0,2.0,12.5,0.0,0.0,Mobile App,New York
2020-11-25,Vitamins,SuperVita,11.0,0.0,12.5,0.0,0.0,Instore,Los Angeles
2020-09-23,Protein,SlimFast,11.0,1.0,12.5,0.0,0.0,Mobile App,Los Angeles
2020-07-01,Immunity Boosters,DreamRest,0.0,2.0,12.5,20.0,0.0,Online,Chicago
2020-10-21,Weight Loss,DreamRest,0.0,0.0,9.99,50.0,0.0,Mobile App,Los Angeles
2020-01-29,Immunity Boosters,ImmunoPro,9.0,0.0,12.5,20.0,90.0,Mobile App,Chicago
2020-07-15,Sleep Aids,ImmunoPro,11.0,1.0,15.0,20.0,0.0,Online,Chicago
2020-04-22,Vitamins,PowerFuel,18.0,1.0,12.5,105.0,-11.25,Mobile App,Houston
2020-10-28,Energy Drinks,SuperVita,11.0,0.0,9.99,20.0,0.0,Mobile App,New York
2020-01-01,Protein,ImmunoPro,11.0,1.0,9.99,50.0,54.945,Online,Los Angeles
2020-01-29,Sleep Aids,PowerFuel,11.0,2.0,12.5,50.0,0.0,Instore,Los Angeles
2020-02-26,Energy Drinks,SuperVita,0.0,1.0,10.99,20.0,0.0,Mobile App,Los Angeles
2020-09-30,Protein,PowerFuel,12.0,0.0,12.5,105.0,-7.5,Mobile App,Los Angeles
2020-12-23,Sleep Aids,SlimFast,11.0,0.0,9.99,20.0,0.0,Online,Chicago
2020-04-08,Weight Loss,DreamRest,11.0,1.0,10.99,20.0,0.0,Instore,Los Angeles
2020-05-27,Vitamins,ImmunoPro,23.0,1.0,15.0,0.0,345.0,Online,Phoenix
2020-03-18,Energy Drinks,SuperVita,7.0,2.0,15.0,25.0,78.75,Mobile App,Los Angeles
2020-06-17,Protein,ImmunoPro,3.0,0.0,12.5,20.0,0.0,Mobile App,Houston
2020-06-10,Sleep Aids,DreamRest,40.0,0.0,15.0,50.0,300.0,Mobile App,Los Angeles
2020-05-20,Energy Drinks,PowerFuel,13.0,1.0,12.5,50.0,81.25,Mobile App,Phoenix
2020-06-24,Vitamins,ImmunoPro,11.0,1.0,12.5,50.0,0.0,Instore,New York
2020-07-22,Sleep Aids,SlimFast,33.0,1.0,10.99,20.0,290.136,Mobile App,New York
2020-02-05,Protein,ImmunoPro,0.0,1.0,10.99,0.0,0.0,Instore,Chicago
2020-09-30,Vitamins,SuperVita,0.0,1.0,9.99,25.0,0.0,Instore,Chicago
2020-10-14,Vitamins,SlimFast,0.0,1.0,9.99,0.0,0.0,Mobile App,Houston
2020-02-19,Weight Loss,DreamRest,49.0,1.0,12.5,25.0,0.0,Mobile App,Chicago
2020-03-11,Weight Loss,SuperVita,11.0,2.0,12.5,25.0,0.0,Instore,Houston
2020-04-29,Sleep Aids,ImmunoPro,16.0,2.0,15.0,50.0,120.0,Online,Chicago
2020-03-04,Sleep Aids,PowerFuel,0.0,0.0,9.99,25.0,0.0,Mobile App,Chicago
2020-01-07,Weight Loss,SlimFast,0.0,1.0,9.99,25.0,0.0,Online,New York
2020-05-13,Weight Loss,SlimFast,0.0,2.0,9.99,25.0,0.0,Online,Los Angeles
2020-05-27,Weight Loss,PowerFuel,11.0,1.0,12.5,0.0,0.0,Online,New York
2020-02-05,Protein,SuperVita,0.0,2.0,9.99,20.0,0.0,Instore,Chicago
2020-05-20,Weight Loss,ImmunoPro,49.0,2.0,10.99,25.0,403.8825,Online,New York
2020-06-03,Vitamins,SuperVita,11.0,1.0,12.5,20.0,0.0,Online,Chicago
2020-04-15,Sleep Aids,MuscleMax,11.0,1.0,15.0,20.0,0.0,Mobile App,Chicago
2020-09-23,Sleep Aids,MuscleMax,0.0,2.0,10.99,50.0,0.0,Online,Phoenix
2020-09-09,Weight Loss,SlimFast,11.0,0.0,12.5,20.0,0.0,Instore,Houston
2020-02-12,Energy Drinks,MuscleMax,11.0,2.0,12.5,25.0,0.0,Instore,New York
2020-01-29,Energy Drinks,SuperVita,27.0,0.0,9.99,20.0,215.784,Instore,Chicago
2020-11-11,Protein,ImmunoPro,40.0,1.0,9.99,0.0,399.6,Instore,Phoenix
2020-05-20,Vitamins,ImmunoPro,11.0,1.0,12.5,50.0,0.0,Instore,Los Angeles
2020-05-27,Energy Drinks,PowerFuel,0.0,2.0,15.0,20.0,0.0,Mobile App,Phoenix
2020-02-09,Protein,MuscleMax,16.0,1.0,12.5,20.0,0.0,Instore,Chicago
2020-10-14,Weight Loss,SuperVita,6.0,1.0,9.99,105.0,-2.997,Instore,Phoenix
2020-10-21,Weight Loss,DreamRest,28.0,2.0,9.99,20.0,223.776,Mobile App,Phoenix
2020-04-08,Protein,DreamRest,11.0,1.0,12.5,20.0,0.0,Online,Phoenix
2020-11-18,Immunity Boosters,ImmunoPro,0.0,2.0,12.5,20.0,0.0,Instore,Phoenix
2020-01-01,Protein,ImmunoPro,11.0,1.0,15.0,20.0,0.0,Instore,Chicago
2020-02-12,Immunity Boosters,ImmunoPro,31.0,1.0,15.0,10.0,418.5,Online,Phoenix
2020-07-29,Vitamins,SlimFast,0.0,1.0,10.99,10.0,0.0,Instore,Phoenix
